IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
002464-06012019,06-Jan-19,2019,13:58:31,13,Fire,Secondary Fire,,Outdoor,Hedge,In street close to gazetteer location,DA14 5AA,DA14,1.00024E+11,20303023,E09000006,BROMLEY,Bromley,E05000115,CRAY VALLEY WEST,CRAY VALLEY WEST,546994,170304,546950,170350,51.41271634,0.112338268,London,Sidcup,285,Sidcup,,,1,1,1,1,333,13,06-01-2019 13:58
002478-06012019,06-Jan-19,2019,14:10:56,14,Fire,Primary Fire,,Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,Within same building,,NW10,0,20200913,E09000005,BRENT,Brent,E05000105,WILLESDEN GREEN,WILLESDEN GREEN,,,521950,184750,,,London,Willesden,450,West Hampstead,456,Park Royal,2,2,2,2,666,2,06-01-2019 14:10
002494-06012019,06-Jan-19,2019,15:20:34,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW2,0,20200759,E09000005,BRENT,Brent,E05000095,MAPESBURY,MAPESBURY,,,523350,185850,,,London,Willesden,456,North Kensington,464,Willesden,2,2,2,2,666,1,06-01-2019 15:20
002496-06012019,06-Jan-19,2019,15:26:15,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE15,0,22500242,E09000028,SOUTHWARK,Southwark,E05011109,OLD KENT ROAD,OLD KENT ROAD,,,534250,177450,,,London,Old Kent Road,187,Old Kent Road,421,Peckham,2,2,2,3,999,1,06-01-2019 15:26
002498-06012019,06-Jan-19,2019,15:37:44,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,UB3,0,21401065,E09000017,HILLINGDON,Hillingdon,E05000325,BOTWELL,BOTWELL,,,508950,180850,,,London,Hayes,372,Hillingdon,416,Hillingdon,2,3,3,2,666,2,06-01-2019 15:37
002499-06012019,06-Jan-19,2019,15:38:35,15,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,SW18 1EG,SW18,121030877,22904678,E09000032,WANDSWORTH,Wandsworth,E05000614,FAIRFIELD,FAIRFIELD,525772,175112,525750,175150,51.46102037,-0.190945906,London,Wandsworth,373,Tooting,444,Battersea,3,3,3,3,999,3,06-01-2019 15:38
002515-06012019,06-Jan-19,2019,16:17:18,16,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW6,0,21000633,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000254,FULHAM BROADWAY,FULHAM BROADWAY,,,524350,177450,,,London,Fulham,236,Fulham,364,Fulham,2,2,2,1,333,1,06-01-2019 16:17
002525-06012019,06-Jan-19,2019,16:35:37,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N10,0,20028840,E09000003,BARNET,Barnet,E05000047,COPPETTS,COPPETTS,,,528050,190850,,,London,Finchley,362,Finchley,366,Finchley,1,2,2,2,666,1,06-01-2019 16:35
002526-06012019,06-Jan-19,2019,16:37:39,16,Fire,Primary Fire,,Non Residential,Restaurant/cafe,Correct incident location,E1 6LZ,E1,6115977,22700347,E09000030,TOWER HAMLETS,Tower Hamlets,E05009333,SPITALFIELDS & BANGLATOWN,SPITALFIELDS & BANGLATOWN,533709,181848,533750,181850,51.5197358,-0.0742059,London,Whitechapel,174,Whitechapel,209,Shoreditch,2,2,2,1,333,1,06-01-2019 16:37
002527-06012019,06-Jan-19,2019,16:38:27,16,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,HA9 8EP,HA9,202130682,20200098,E09000005,BRENT,Brent,E05000097,PRESTON,PRESTON,518676,186140,518650,186150,51.56166678,-0.289323568,London,Wembley,308,Wembley,590,Park Royal,2,3,3,2,666,1,06-01-2019 16:38
002528-06012019,06-Jan-19,2019,16:39:17,16,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,CR4 4HN,CR4,48124560,22100486,E09000024,MERTON,Merton,E05000467,POLLARDS HILL,POLLARDS HILL,529073,167755,529050,167750,51.3941597,-0.146135355,London,Mitcham,277,Mitcham,,,1,1,1,1,333,18,06-01-2019 16:39
